-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     497.569us         0.02%     497.569us       1.631us           0 B           0 B           0 B           0 B           305            --  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     492.419us         0.02%     492.419us       1.222us           0 B           0 B           0 B           0 B           403            --  
                                       cuLaunchKernelEx         1.26%      31.116ms         1.26%      31.116ms      17.144us     414.692us         0.02%     414.692us       0.228us           0 B           0 B           0 B           0 B          1815            --  
                                      _rejection_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     378.563us         0.02%     378.563us       6.641us           0 B           0 B           0 B           0 B            57            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     297.188us         0.01%     297.188us       2.436us           0 B           0 B           0 B           0 B           122            --  
                          _prepare_dflash_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     289.955us         0.01%     289.955us       4.753us           0 B           0 B           0 B           0 B            61            --  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     278.662us         0.01%     278.662us       4.568us           0 B           0 B           0 B           0 B            61            --  
                                           _C::rms_norm         0.13%       3.144ms         0.23%       5.660ms      46.393us     269.761us         0.01%     269.761us       2.211us           0 B           0 B           0 B           0 B           122            --  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     248.287us         0.01%     248.287us       1.113us           0 B           0 B           0 B           0 B           223            --  
                                              aten::cat         0.18%       4.331ms         0.28%       6.984ms      57.247us     224.642us         0.01%     224.642us       1.841us         976 B         976 B      71.21 MB      71.21 MB           122            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     224.642us         0.01%     224.642us       3.683us           0 B           0 B           0 B           0 B            61            --  
                               cudaEventRecordWithFlags         0.08%       2.083ms         0.08%       2.083ms       4.461us     220.191us         0.01%     220.191us       0.472us           0 B           0 B           0 B           0 B           467            --  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     199.329us         0.01%     199.329us       1.634us           0 B           0 B           0 B           0 B           122            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     198.081us         0.01%     198.081us       3.247us           0 B           0 B           0 B           0 B            61            --  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     192.830us         0.01%     192.830us       3.161us           0 B           0 B           0 B           0 B            61            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     177.981us         0.01%     177.981us       1.459us           0 B           0 B           0 B           0 B           122            --  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     168.512us         0.01%     168.512us       2.762us           0 B           0 B           0 B           0 B            61            --  
                                        cudaGraphLaunch         3.98%      98.076ms         4.26%     105.088ms     890.575us     162.848us         0.01%     162.848us       1.380us           0 B           0 B           0 B           0 B           118            --  
                                 aten::_index_put_impl_         0.11%       2.733ms         0.22%       5.372ms      88.073us     155.329us         0.01%     155.329us       2.546us           0 B           0 B           0 B           0 B            61            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     155.329us         0.01%     155.329us       2.546us           0 B           0 B           0 B           0 B            61            --  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 4, true...         0.00%       0.000us         0.00%       0.000us       0.000us     155.041us         0.01%     155.041us       2.542us           0 B           0 B           0 B           0 B            61            --  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     153.635us         0.01%     153.635us       2.519us           0 B           0 B           0 B           0 B            61            --  
                               _insert_resampled_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     144.223us         0.01%     144.223us       2.530us           0 B           0 B           0 B           0 B            57            --  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     134.690us         0.01%     134.690us       2.208us           0 B           0 B           0 B           0 B            61            --  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     134.273us         0.01%     134.273us       3.052us           0 B           0 B           0 B           0 B            44            --  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     125.349us         0.01%     125.349us       1.027us           0 B           0 B           0 B           0 B           122            --  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2, true...         0.00%       0.000us         0.00%       0.000us       0.000us     114.720us         0.00%     114.720us       1.881us           0 B           0 B           0 B           0 B            61            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      96.258us         0.00%      96.258us       1.578us           0 B           0 B           0 B           0 B            61            --  
                                              aten::add         0.14%       3.378ms         0.20%       4.910ms      34.581us      89.410us         0.00%      89.410us       0.630us         488 B         244 B      39.07 MB      39.07 MB           142  18657402.000  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      79.937us         0.00%      79.937us       1.310us           0 B           0 B           0 B           0 B            61            --  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      78.814us         0.00%      78.814us       1.292us           0 B           0 B           0 B           0 B            61            --  
                                            aten::fill_         0.12%       3.021ms         0.36%       8.774ms      34.275us      69.601us         0.00%      70.625us       0.276us           0 B           0 B           0 B           0 B           256            --  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      69.471us         0.00%      69.471us       1.139us           0 B           0 B           0 B           0 B            61            --  
                                              aten::sub         0.09%       2.272ms         0.14%       3.518ms      61.717us      65.217us         0.00%      65.217us       1.144us           0 B           0 B      28.50 KB      28.50 KB            57            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.217us         0.00%      65.217us       1.144us           0 B           0 B           0 B           0 B            57            --  
                             _expand_idx_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      62.396us         0.00%      62.396us       1.095us           0 B           0 B           0 B           0 B            57            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.466s
Self CUDA time total: 2.478s

