-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     _compute_local_logits_stats_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     560.521us         0.02%     560.521us       9.500us           0 B           0 B           0 B           0 B            59            --  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     514.278us         0.02%     514.278us       1.236us           0 B           0 B           0 B           0 B           416            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     491.303us         0.02%     491.303us       1.585us           0 B           0 B           0 B           0 B           310            --  
                                   _C::rotary_embedding         0.15%       3.759ms         0.26%       6.374ms      37.496us     465.987us         0.02%     465.987us       2.741us           0 B           0 B           0 B           0 B           170            --  
                                      _rejection_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     369.321us         0.01%     369.321us       6.260us           0 B           0 B           0 B           0 B            59            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     309.510us         0.01%     309.510us       2.496us           0 B           0 B           0 B           0 B           124            --  
                          _prepare_dflash_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     293.223us         0.01%     293.223us       4.729us           0 B           0 B           0 B           0 B            62            --  
                                       _resample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     289.986us         0.01%     289.986us       4.915us           0 B           0 B           0 B           0 B            59            --  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     273.569us         0.01%     273.569us       4.412us           0 B           0 B           0 B           0 B            62            --  
                                           _C::rms_norm         0.13%       3.296ms         0.24%       5.957ms      48.043us     267.779us         0.01%     267.779us       2.160us           0 B           0 B           0 B           0 B           124            --  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     238.886us         0.01%     238.886us       1.091us           0 B           0 B           0 B           0 B           219            --  
                                              aten::cat         0.18%       4.477ms         0.30%       7.307ms      58.931us     218.464us         0.01%     218.464us       1.762us         992 B         992 B      65.39 MB      65.39 MB           124            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     218.464us         0.01%     218.464us       3.524us           0 B           0 B           0 B           0 B            62            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     206.688us         0.01%     206.688us       3.334us           0 B           0 B           0 B           0 B            62            --  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     200.703us         0.01%     200.703us       1.619us           0 B           0 B           0 B           0 B           124            --  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     195.937us         0.01%     195.937us       3.160us           0 B           0 B           0 B           0 B            62            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     190.435us         0.01%     190.435us       1.536us           0 B           0 B           0 B           0 B           124            --  
                                  cudaStreamIsCapturing         0.07%       1.744ms         0.07%       1.744ms       2.000us     183.521us         0.01%     183.521us       0.210us           0 B           0 B           0 B           0 B           872            --  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     173.415us         0.01%     173.415us       2.797us           0 B           0 B           0 B           0 B            62            --  
                                 aten::_index_put_impl_         0.11%       2.820ms         0.22%       5.385ms      86.856us     162.719us         0.01%     162.719us       2.625us           0 B           0 B           0 B           0 B            62            --  
