-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.637ms         1.62%      38.637ms      38.637ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.622ms         1.62%      38.622ms      38.622ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.613ms         1.62%      38.613ms      38.613ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.583ms         1.62%      38.583ms      38.583ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      37.934ms         1.59%      37.934ms      37.934ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      37.426ms         1.57%      37.426ms      37.426ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      36.953ms         1.55%      36.953ms      36.953ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      36.881ms         1.55%      36.881ms      36.881ms           0 B           0 B           0 B           0 B             1  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      22.696ms         0.95%      22.696ms      10.007us           0 B           0 B           0 B           0 B          2268  
std::enable_if<((0)==(0))||(!vllm::_typeConvert<c10:...         0.00%       0.000us         0.00%       0.000us       0.000us      16.965ms         0.71%      16.965ms       3.682us           0 B           0 B           0 B           0 B          4608  
                                       _rms_norm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.068ms         0.30%       7.068ms       1.513us           0 B           0 B           0 B           0 B          4672  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       7.021ms         0.29%       7.021ms       3.047us           0 B           0 B           0 B           0 B          2304  
void vllm::rotary_embedding_kernel<c10::BFloat16, c1...         0.00%       0.000us         0.00%       0.000us       0.000us       5.883ms         0.25%       5.883ms       2.553us           0 B           0 B           0 B           0 B          2304  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       4.104ms         0.17%       4.104ms       1.781us           0 B           0 B           0 B           0 B          2304  
